,date,open,high,low,close,volume,marketcap
1053,2016-05-11,3.82,3.91,3.81,3.88,2458140,177585322
1054,2016-05-10,4.06,4.12,3.8,3.82,3688200,174641236
1055,2016-05-09,3.94,4.08,3.9,4.06,3120940,185430676
1056,2016-05-08,3.94,3.94,3.89,3.94,1783970,179970541
1057,2016-05-07,3.82,4.0,3.82,3.95,3278610,180613961
1058,2016-05-06,3.72,3.82,3.71,3.82,1899060,174553761
1059,2016-05-05,3.74,3.76,3.71,3.71,1702120,169555640
1060,2016-05-04,3.74,3.78,3.73,3.75,1716110,171003781
1061,2016-05-03,3.68,3.76,3.66,3.74,2363200,170686505
1062,2016-05-02,3.71,3.78,3.64,3.68,2667410,167873296
1063,2016-05-01,3.66,3.72,3.64,3.71,1911590,168960181
1064,2016-04-30,3.81,3.82,3.64,3.66,2502180,166838034
1065,2016-04-29,3.79,3.85,3.72,3.81,2467080,173795576
1066,2016-04-28,3.88,3.88,3.69,3.79,3952590,172599518
1067,2016-04-27,4.05,4.23,3.87,3.89,9435190,177156360
1068,2016-04-26,3.8,4.11,3.79,4.05,6717450,184202446
1069,2016-04-25,3.62,3.87,3.55,3.81,6605750,173490345
1070,2016-04-24,3.35,3.65,3.35,3.63,4502460,165243094
1071,2016-04-23,3.32,3.34,3.31,3.33,1383790,151665121
1072,2016-04-22,3.35,3.35,3.31,3.32,1569850,150927957
1073,2016-04-21,3.28,3.35,3.27,3.35,1688230,152119484
1074,2016-04-20,3.29,3.29,3.27,3.28,1638920,148983032
1075,2016-04-19,3.25,3.29,3.24,3.29,1333410,149242320
1076,2016-04-18,3.26,3.27,3.24,3.24,1317730,147159156
1077,2016-04-17,3.28,3.28,3.25,3.26,1211900,147898852
1078,2016-04-16,3.28,3.29,3.27,3.27,1155850,148581588
1079,2016-04-15,3.24,3.28,3.24,3.28,1404400,148766669
1080,2016-04-14,3.25,3.26,3.23,3.24,1190770,146942396
1081,2016-04-13,3.26,3.27,3.24,3.24,1295720,146862629
1082,2016-04-12,3.24,3.28,3.23,3.26,1305310,147655948
1083,2016-04-11,3.23,3.24,3.21,3.24,1061060,146900568
1084,2016-04-10,3.22,3.25,3.21,3.23,1417490,146184990
1085,2016-04-09,3.22,3.23,3.2,3.22,1224580,145650686
1086,2016-04-08,3.24,3.25,3.21,3.22,1352320,145793622
1087,2016-04-07,3.26,3.26,3.23,3.25,1150280,146888055
1088,2016-04-06,3.26,3.26,3.24,3.26,1088910,147322045
1089,2016-04-05,3.25,3.27,3.24,3.25,863788,147078962
1090,2016-04-04,3.26,3.27,3.22,3.25,1188610,146984045
1091,2016-04-03,3.26,3.27,3.25,3.26,1281200,147483988
1092,2016-04-02,3.25,3.28,3.24,3.26,1174830,147408312
1093,2016-04-01,3.25,3.26,3.23,3.24,1316230,146360614
1094,2016-03-31,3.23,3.27,3.22,3.26,1704440,147087412
1095,2016-03-30,3.23,3.28,3.2,3.22,1450290,145343005
1096,2016-03-29,3.26,3.28,3.2,3.23,1764730,145609600
1097,2016-03-28,3.3,3.3,3.26,3.26,1427140,147265578
1098,2016-03-27,3.23,3.32,3.23,3.3,2089890,149001614
1099,2016-03-26,3.23,3.24,3.21,3.23,1117430,145662124
1100,2016-03-25,3.23,3.24,3.21,3.23,1200290,145548074
1101,2016-03-24,3.25,3.25,3.22,3.22,1394180,145309420
1102,2016-03-23,3.23,3.25,3.22,3.24,1703040,146080442
